Search String,Search Engine,Media Name,Media Title,Link,Time
tata mergers,Google,The Ken,"Tata Tech, just merge with Tata Elxsi",https://news.google.co.in/read/CBMicEFVX3lxTE5qQkktdmlvTmJ2Z1NITG1IU2lIaXpVTjk3aXZTeXppVzdsbjE3SjYxU0RwczAzby1Gc2pfZ0E3ZlI2M1hYT1g5eXAwdC1nWHlRdHY4TmxFX2hjVEk2akx5SHdIV2hmWkhDX1gwU09pNlU?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-01-31T08:00:00Z
tata mergers,Google,The Economic Times,"Vedanta, UltraTech, Tata Motors among 8 mergers and demergers to track",https://news.google.co.in/read/CBMi7AFBVV95cUxNa3ROQ0R3eFpYdHdrUjlrTEcySEg5cWc3YWhXWkJRQThSNC0zUzcydzZpNzh5anY3ZDdHXzJsX3JITzBVMUljcHN4dG1ucldFV1liMFdMQ1N6Y1BzTHQ0V2pEdUIxd3NpNEdSalhuOTlNT2R3SGF1STR0X2hfeXZnTHBFUGtHRjZvYlhtRllRTGZYSS1hYUw3anJING9vUW03d2hLb29MV1RHQXBUbTBYbVZObWFFMTEwZnhaalpMVkxWWDI1UkE4eld6WjNRaHZVNTU0b3Zoa0RTcjUteWd6eE5xUVdPRzNYNHFYUg?hl=en-IN&gl=IN&ceid=IN%3Aen,2025-01-29T08:00:00Z
tata mergers,Google,Business Standard,"Tata Capital, Tata Motors Finance merger receives RBI's approval",https://news.google.co.in/read/CBMizAFBVV95cUxPUmhaTEhoRHV0cXQwQWVPVFhtLW5QTjZXNGRPNmhEYVNQMl9yeENuRFJFRGdYSFVRQVkyMzFQOUxyNVE2SThISDhSN2U1RVFhSEFFN2lIRFdWN09RUlBYanUzTkhCbjc5c2M3dHgwMHhxTUhrZVNNaUlINURVdFRBaEZuOE1FWk5xLTB0MzBSSFE3TDdHYXZva1ZReXBYY1JhTjNDSThTMWRDdWRMQnd0dUFwbmt4ekU1YVNtY0hxc1BvZkZiY2Rna0Y4NWbSAdIBQVVfeXFMT1lGdkxiUlRkUi1YaGc2X1h6WVBNRXplb2F0dUdwYXNLY3NETXY1RVVfeTgyVURCZ0s1OVBHMzB0WUpIaFhqeTdqRldtdzc3NXlqMXdMbGRxdF9uNWEzSm16YXlTcVhfbHFRTWZNUnRKUHBGbGxlUXpfSTZLU2JzWHhIN1NHMjlVVW5BRTBDbGlnaXNGNzFKd3JZdURacXNrREFtdmczeVgxT1BYZ1NmV2kySHRpeFBjeFNoMG1icnozWURXSnlxTUtyQm1ZTm1zYnV3?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-14T07:00:00Z
tata mergers,Google,BusinessLine,Tata group mulls merging Tata Realty and Tata Projects,https://news.google.co.in/read/CBMivgFBVV95cUxPRjBnMHpvX2M2NGFKMFp5eUYza1hESzJYU3NZZ0h5NmpNMjU4aUdnYWZ6c0Zna1FxZl8zRW9tLV8zVGp0X3RUVjJSNl9NeEY4RGloT0lCMmhiYWJrY2FEdkdZWlRRdzFqR0xKWndQbmlqLThlQUVDMjNtTlJpZUNQSkJ4dnFSWGNxcWdiZHh5M3FDTlBSaExOT2ROQ3RiV1JHUkdtYWZ3TGcyek4tQU1qRjRCc05HZzlqNzROUUFn?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-01T07:00:00Z
tata mergers,Google,Skift Travel News,Air India-Vistara Merger: Strategic Win or Tata’s Gamble?,https://news.google.co.in/read/CBMijAFBVV95cUxQc1FHajJWRDNEVGd2NnpZeFFKYjlFS25jbElFeUdwa3Vfa3Y2Q1VMNmQyVWtDUmJWYUFLdGRCNzgybjh6UFF6RkphSlQxZDRvMkJUTEhzTC1yYkp1ZG1NNGtoMEhueF9OeC0tTF9VbDQxWTB5dkJEUnh4SFRKWGFiM0VkUEhHckw1NHhMUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-17T07:00:00Z
tata mergers,Google,CNBCTV18,Tata Sons & Singapore Airlines celebrate Vistara’s merger with Air India,https://news.google.co.in/read/CBMiwwFBVV95cUxPNEY1QmlrWkp4T01NeV9fMmJfaHVQWHFPZURpM2lCelhISUs3OUU1T3RUS1RuSUpjT1JCaXl5bDByWWp5WmtNSUctdjVCUFUyMmRrX3gtNEpWLWE0TUxDYU92anlmb0YzTU04dXlablp3WEFja0x2X0VSX1p2enF6YTdJSER1VWxvRUF6UmdYdTNIZXdNMVBwek5tT2dCb3hIUUVQRG5xXzhjdGxVQkFmMWIwT2E5RVBMRDlQS0xlSXhKSnfSAcgBQVVfeXFMTnZjZ2J1Z0tXWnBlcEZPU2lSSDRoODNRd1d4czZFd05zc1ZKa0NYZUZVNlp1QVE4NlN2YmN1NlBSVmhlNHp3emxocHp2OVRkSzJvSU9aMHZsTEpWamtERW1xa0VXMlVxS2VUSTdzOTVwZlg4U3R4VVN3UExnM2pjcDdvalF0ZWMyVkJkMVBoR3VkUm0wVWZGMXRvaUhESlhJeDk3ci1JWVotWWNmdGtDUjVUQVhqRUx6QW0tYlZ4UFhUM0xyUEtOdHg?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-18T08:00:00Z
tata mergers,Google,The Financial Express,Air India-Vistara merger finalised – Tata Group's airline now India's biggest international carrier - Airlines/Aviation News,https://news.google.co.in/read/CBMi9wFBVV95cUxPT2RzOWlKRTlNOThmalItVEVMM0VBLXZXV3lYNmRLRF9HcjJycGktQ0h6N013dkVSeEFjckk4SlE2RnVjclZyZUlKTTVsZm1QenhCYjhscFUxck16RlU2X2R2Q3JBRTZZR2c0TC1Ja2wwWi1CTE0yS3p1ZGoxR1Zpd0FBWklJRWJ1dFBNNTlENWdoNkF0QllHOC1ZallZTGtPOEg4WHJwZ2xYckZkSE1tTDYxOUk3TDBYel9WOGhnWmpYdkR2TlJBcm1EM1B5b2h3cHFEeV8xSDBMOHVyVUptalVXX2JFN3lnQVNJVGpuNDdROU9oOTVV?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-13T08:00:00Z
tata mergers,Google,Business Today,'Air India-Vistara merger important milestone to transform it into world-class global airline': Tata Group chairman N Chandrasekaran,https://news.google.co.in/read/CBMipwJBVV95cUxQeklhZ3FWSHZncDVDOGxhVUgxdlAzTUowQWJJdGwwdm83MVdlUEg3ckpzYTd1M3NBUXNNdXg0OGpCMFQ4d0tiT09GelByb01ucnFkSnE2c28xb3dCTmJVQTJrbW1RaGhKc1RPRFpFVVJLOWdHWWlEMDR5NlJfM2ZMWnVGS1d5b2wyNG1oTUpiWEllRkNYRzNUYWRERGkzUk1mVWJRVGZNZENJb3I5WWhEQ3E0WDNMWkZUWGdTQVU5RjdiUFBzcm5ncGlvNjJOeUk4eUtVcUVPVmxVQmwtajNLZUtpS3BpMUJnSXBHa0UzcFB5MGVyNFk3T3htd0h0cFY0UXZlMEN6b04wdl9uYVktN0NqT2tHdTVJY1F2WUZZblFCNDVSUXVj?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-14T08:00:00Z
tata mergers,Google,Mint,Air India-Vistara merger completed: Tata-group airline becomes India’s largest international carrier; here’s how,https://news.google.co.in/read/CBMiigJBVV95cUxNY1BFSzQwX3FrZFVaY25FSHVUTV9vai01dUF0T2VTN0FHM2tTclBLaElnWWt6Y2h2SHo2WmRIRE1QY29zVGhkMkJlU19DV0ZIX1Q0Z2hyc2I1akdWd19zbVFXSlM5MTl2TEJsUDU3RFlSYzNWc0xBa1ZlbVdIM2V6Q25tNjdId1NFWGlxc0ZXQzJ5b1pZSUg4RDVkV3ZjNDkxU0pfWUd2bzVzSVR4WDNYbmFyQ2FkRC1weGg2WVFZcWVBN0dQR3NnSnhTWDdBLUR1VmczVTZNT0FIUm9qQl8zcF9ZQTh2aHFIU0N6aVpLT0xtM2xELV9tSGp3NWlFMGZ2eHVOYkNtdHpQQdIBjwJBVV95cUxNcnJkbnJ3MDd2UjVqejZPYUU5Z21wWTJOeFY5d3ZLLXctQWVRLUI4MXlLdEI5UURoOUdFUEphRDZ1QjlPQllKZVVnRHptOWV4UGJRLTdKZE9Veks5Y2Y1UnlzQnBSeXA3R3lzc2hmbG05SUJDcDhKS2VLMXZBcmd1TGNYQldnUDF3S3ExcnduNVdDV0hfdVF0SVBlc1lsRDIwb2NPbXV2Qk1UYzBjVXVFRjhlbFhQTmI2bVlLY2haRVI4ZEdBbVJ1VXg5ejBpSm9ZRW4yZ0hrXzBVcXRUOWhDOXNoeFR5eXVxUzZwaVctdzE4UDVhekJTV2RMRjVfOXEtV2JOdXZpWUhKYjZsZ2Mw?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-11-12T08:00:00Z
tata mergers,Google,The Times of India,Tata Motors to merge vehicle financing biz with Tata Capital,https://news.google.co.in/read/CBMi3wFBVV95cUxNTi1ZZnFGQTM5SWtjUHdFNDN0RmZiejJHODRfV2o4TGc5dGliZW5wanlUSVJreWVTVm9kN1NZdl9YcXBWUlJoZ1RUZ1RLWHdlaklEOWJRT3FKSFRoVGEzejZDWDFPUzZQRHp5bEhBd2k0Vl9fOUhCeklaV190VU9mQXN4d2Q1aWJGdFpSbWZPMXpFVzVWcVBoSFNVeDA1VTExbXp0WVpuNjVjSHJ6ZGROX1hiUUdURzB0a2N1Y3RMWkk1NjRqbUdmczJmdjhuWlhTX0c2Rm1kclNmRjRTNVZR0gHkAUFVX3lxTE5TbThPM0JZUDdwMWVrZDYxaXFOVGlsZ1JNSEFjTHB4aGQ3Z1BnMG4tZFBWTW9PSXlMQkEtY2tIYmlnajNTYWVwUl9sUHFpMUk3dG11UVFCalpPdl9lRGNpa2pSa0Y5eXkybk1SZFBTZ3VSRzJ2OXhDMjFxbUVvV2F0T1lQVHFNMjYwS1NZS1dvcW9velJjb1VtanJUZ0hLcng5T2RXZVpZWlUxRWdKTDRJM29td2k1R3VSTElNUi1jMG1wa3N0bXlvV0JsYk1Ha01VQ0E1eTNRbFk5RjdwcTFibXZnNA?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-05T07:00:00Z
